simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
1,onc_0001,3323,1107,657,heated
2,onc_0002,2728,1248,757.5,heated
3,onc_0003,3509,1063,700.5,heated
4,onc_0004,3071,1158,700.5,heated
5,onc_0005,4434,913,570.5,heated
6,onc_0006,3979,948.5,644.5,heated
7,onc_0007,2743,1215,968,heated
8,onc_0008,4103,927.5,744,heated
9,onc_0009,3764,1048,688.5,heated
10,onc_0010,4711,875.5,564,heated
11,onc_0011,2313,1412,862,heated
12,onc_0012,2249,1427,921,heated
13,onc_0013,2977,1200,806.5,heated
14,onc_0014,2211,1440,1073,heated
15,onc_0015,2170,1454,839.5,heated
16,onc_0016,2449,1377,788,heated
17,onc_0017,4628,876.5,602.5,heated
18,onc_0018,2999,1197,733,heated
19,onc_0019,3377,1051,1021,unheated
20,onc_0020,4015,963,654.5,heated
21,onc_0021,3292,1103,699,heated
22,onc_0022,4448,897.5,601.5,heated
23,onc_0023,2624,1305,888.5,heated
24,onc_0024,3634,1034,659.5,heated
25,onc_0025,2234,1436,871.5,heated
26,onc_0026,2504,1274,1158,heated
27,onc_0027,4750,875,728,heated
28,onc_0028,3462,1076,667,heated
29,onc_0029,3491,1038,792,heated
30,onc_0030,2916,1233,803,heated
31,onc_0031,2150,1461,818.5,heated
32,onc_0032,2110,1475,840.5,heated
33,onc_0033,2173,1458,866.5,heated
34,onc_0034,2236,1421,837.5,heated
35,onc_0035,2269,1415,802.5,heated
36,onc_0036,2151,1429,994.5,heated
37,onc_0037,3473,1052,680.5,heated
38,onc_0038,2391,1354,1043,heated
39,onc_0039,2377,1327,753.5,heated
40,onc_0040,4625,888,558.5,heated
41,onc_0041,2851,1216,741.5,heated
42,onc_0042,3062,1135,857,heated
43,onc_0043,2305,1408,839,heated
44,onc_0044,3251,1122,713,heated
45,onc_0045,2523,1285,1053,heated
46,onc_0046,3242,1115,703.5,heated
47,onc_0047,3753,995,923.5,unheated
48,onc_0048,2099,1401,1386,unheated
49,onc_0049,2440,1332,781.5,heated
50,onc_0050,3524,1105,676.5,heated
51,onc_0051,4154,936.5,584.5,heated
52,onc_0052,2396,1439,1296,heated
53,onc_0053,3609,1056,759.5,heated
