simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
1,onc_0001,2338,1107,895,heated
2,onc_0002,1980,1249,1008,heated
3,onc_0003,3252,1063,877.5,heated
4,onc_0004,2563,1158,938.5,heated
5,onc_0005,3189,913.5,750.5,heated
6,onc_0006,3080,949,790.5,heated
7,onc_0007,2041,1215,1067,heated
8,onc_0008,3800,928,815,heated
9,onc_0009,2534,1048,864.5,heated
10,onc_0010,3570,876,726,heated
11,onc_0011,1762,1413,1142,heated
12,onc_0012,1662,1428,1172,heated
13,onc_0013,2435,1200,995,heated
14,onc_0014,1594,1440,1237,heated
15,onc_0015,1700,1454,1161,heated
16,onc_0016,1857,1378,1098,heated
17,onc_0017,3561,877,738.5,heated
18,onc_0018,2309,1197,974,heated
19,onc_0019,2909,1051,1020,unheated
20,onc_0020,3531,963.5,802.5,heated
21,onc_0021,2546,1103,901,heated
22,onc_0022,3411,898,750.5,heated
23,onc_0023,1889,1305,1087,heated
24,onc_0024,2651,1034,846.5,heated
25,onc_0025,2099,1436,1160,heated
26,onc_0026,1897,1274,1188,unheated
27,onc_0027,3981,875.5,780.5,unheated
28,onc_0028,2996,1076,878,heated
29,onc_0029,2752,1039,896,heated
30,onc_0030,2054,1234,1014.5,heated
31,onc_0031,1634,1461,1159,heated
32,onc_0032,1692,1475,1175,heated
33,onc_0033,1675,1458,1172,heated
34,onc_0034,1696,1422,1147,heated
35,onc_0035,1854,1415,1126,heated
36,onc_0036,1647,1429,1201,heated
37,onc_0037,2634,1052,864,heated
38,onc_0038,2043,1354,1177,heated
39,onc_0039,2072,1327,1056,heated
40,onc_0040,3548,888.5,731.5,heated
41,onc_0041,2076,1216,989,heated
42,onc_0042,2323,1135,976.5,heated
43,onc_0043,2024,1408,1132,heated
44,onc_0044,2840,1122,917,heated
45,onc_0045,1917,1285,1140,heated
46,onc_0046,2396,1116,910,heated
47,onc_0047,2969,995,935.5,unheated
48,onc_0048,1792,1401,1385,unheated
49,onc_0049,1922,1333,1068,heated
50,onc_0050,2818,1105,899,heated
51,onc_0051,3157,937,769,heated
52,onc_0052,1638,1439,1339,heated
53,onc_0053,2663,1056,893.5,heated
54,onc_0054,3437,908.5,760.5,heated
55,onc_0055,2279,1259,1159,heated
56,onc_0056,3284,925.5,758.5,heated
57,onc_0057,2695,1108,1031,unheated
58,onc_0058,3210,879.5,743.5,heated
59,onc_0059,1696,1475,1229,heated
60,onc_0060,3512,899.5,741.5,heated
61,onc_0061,2033,1266,1027,heated
62,onc_0062,1832,1467,1166,heated
63,onc_0063,2024,1238,1160,unheated
64,onc_0064,2144,1301,1155,heated
65,onc_0065,1689,1456,1159,heated
