simulation_index,simulation_directory,time_to_onc,T_before_onc,T_after_onc,detection_node
1,onc_0001,1857,1107,719,heated
2,onc_0002,2771,1249,836,heated
3,onc_0003,1878,1063,751,heated
4,onc_0004,3161,1158,766.5,heated
5,onc_0005,2761,913,607.5,heated
6,onc_0006,2480,949,682.5,heated
7,onc_0007,2634,1215,1011,heated
8,onc_0008,3929,928,765,heated
9,onc_0009,2141,1048,738,heated
10,onc_0010,4530,875.5,602.5,heated
11,onc_0011,1899,1413,959.5,heated
12,onc_0012,1889,1428,1015,heated
13,onc_0013,2818,1200,868,heated
14,onc_0014,1595,1440,1149,heated
15,onc_0015,1307,1454,947.5,heated
16,onc_0016,1837,1378,891,heated
17,onc_0017,3141,876.5,635.5,heated
18,onc_0018,2197,1197,804.5,heated
19,onc_0019,3065,1051,1026,unheated
20,onc_0020,2327,963,693.5,heated
21,onc_0021,3244,1103,756.5,heated
22,onc_0022,4530,898,637.5,heated
23,onc_0023,1700,1305,960.5,heated
24,onc_0024,3640,1034,711.5,heated
25,onc_0025,1909,1436,972.5,heated
26,onc_0026,2001,1274,1179,unheated
27,onc_0027,4071,875.5,743,heated
28,onc_0028,1999,1076,722,heated
29,onc_0029,1976,1039,826,heated
30,onc_0030,2640,1234,870.5,heated
31,onc_0031,1978,1461,936,heated
32,onc_0032,1890,1475,954,heated
33,onc_0033,1868,1458,974,heated
34,onc_0034,1976,1421,942,heated
35,onc_0035,1424,1415,908.5,heated
36,onc_0036,1576,1429,1079,heated
37,onc_0037,2120,1052,731,heated
38,onc_0038,1645,1354,1105,heated
39,onc_0039,1849,1327,847.5,heated
40,onc_0040,2934,888,593,heated
41,onc_0041,2009,1216,815.5,heated
42,onc_0042,3060,1135,900,heated
43,onc_0043,1807,1408,939.5,heated
44,onc_0044,1899,1122,773,heated
45,onc_0045,1966,1285,1092,heated
46,onc_0046,1870,1116,763,heated
47,onc_0047,3384,995,931.5,unheated
48,onc_0048,2059,1401,1391,unheated
49,onc_0049,2046,1332,872,heated
50,onc_0050,3211,1105,735.5,heated
51,onc_0051,2662,937,623,heated
52,onc_0052,2095,1439,1327,heated
53,onc_0053,1714,1056,800,heated
54,onc_0054,2930,908.5,648.5,heated
55,onc_0055,2003,1259,1141,heated
56,onc_0056,2655,925.5,611.5,heated
57,onc_0057,2366,1108,1022,unheated
58,onc_0058,4649,879.5,643.5,heated
59,onc_0059,2173,1475,1092,heated
60,onc_0060,2828,899.5,606,heated
61,onc_0061,2239,1266,849.5,heated
62,onc_0062,1347,1467,943,heated
63,onc_0063,2000,1238,1154,unheated
64,onc_0064,1876,1301,1108,heated
65,onc_0065,1880,1456,939,heated
66,onc_0066,2678,1244,917.5,heated
67,onc_0067,2707,907.5,613,heated
68,onc_0068,1597,1404,1121,heated
69,onc_0069,1752,1259,938,heated
70,onc_0070,1965,1218,844,heated
71,onc_0071,2578,1313,1072,heated
72,onc_0072,1384,1438,1079,heated
73,onc_0073,2401,964.5,636.5,heated
74,onc_0074,1811,1269,1014,heated
75,onc_0075,3758,986.5,744,heated
76,onc_0076,2581,978,762.5,heated
77,onc_0077,2154,1188,800.5,heated
78,onc_0078,4122,910.5,713,heated
79,onc_0079,1792,1259,933.5,heated
80,onc_0080,2894,1193,833,heated
81,onc_0081,4714,885,679.5,heated
82,onc_0082,2386,1366,962.5,heated
83,onc_0083,1766,1050,783.5,heated
84,onc_0084,3192,936,801,heated
85,onc_0085,2683,922.5,661.5,heated
86,onc_0086,2282,1384,1095,heated
87,onc_0087,2515,1354,1129,heated
88,onc_0088,2454,1053,733.5,heated
89,onc_0089,2762,912,604,heated
90,onc_0090,2008,1168,850.5,heated
91,onc_0091,2224,1460,1224,heated
92,onc_0092,3529,998.5,844,heated
93,onc_0093,1726,1118,739,heated
94,onc_0094,2081,1018,672,heated
95,onc_0095,1802,1265,953,heated
96,onc_0096,2099,967.5,741.5,heated
97,onc_0097,1983,1087,719.5,heated
98,onc_0098,3664,1016,692.5,heated
99,onc_0099,2324,986,653.5,heated
100,onc_0100,2858,1189,815.5,heated
101,onc_0101,2425,1315,1129,heated
102,onc_0102,2803,1155,1029,heated
103,onc_0103,1849,1243,908.5,heated
104,onc_0104,1850,1209,781,heated
105,onc_0105,2502,960.5,804.5,heated
106,onc_0106,4678,880.5,618.5,heated
107,onc_0107,1958,1187,817.5,heated
108,onc_0108,4588,895,653.5,heated
109,onc_0109,1905,1123,783.5,heated
